HOSPITAL;MUNICIPIO;PROVINCIA
Complejo Hospitalario Universitario de Albacete;Albacete;Albacete
Hospital General de Villarrobledo;Villarrobledo;Albacete
Hospital de Hellín;Hellín;Albacete
Hospital de Almansa;Almansa;Albacete
Hospital General Universitario de Ciudad Real;Ciudad Real;Ciudad Real
Hospital General de Tomelloso;Tomelloso;Ciudad Real
Hospital General de Valdepeñas;Valdepeñas;Ciudad Real
Hospital Santa Bárbara;Puertollano;Ciudad Real
Hospital Mancha Centro;Alcázar de San Juan;Ciudad Real
Hospital Universitario de Cuenca;Cuenca;Cuenca
Hospital Universitario de Guadalajara;Guadalajara;Guadalajara
Hospital Universitario de Toledo;Toledo;Toledo
Hospital Nuestra Señora del Prado;Talavera de la Reina;Toledo
